,PAH,COVID-19
SAA2,2.27829517,2.424541694
S100A9,1.65756052,1.109535203
S100A12,1.70345233,1.225821904
S100A8,1.45083337,1.871403901
SAA1,1.4906812,2.223957417
EDN1,-1.29821,1.062584325
