ID,"        ""adj.P.Val""",P.Value,logFC,"        ""Gene.symbol"""
7985662,2.11E-10,1.38E-14,-0.44504132,PDE8A
8041383,2.11E-10,1.76E-14,-0.93159722,LTBP1
8112519,2.11E-10,1.90E-14,1.19286296,LOC441081
8003733,4.42E-10,5.55E-14,-0.35860077,SGSM2
8166065,4.42E-10,6.64E-14,0.84290531,TLR8
8105987,5.58E-10,1.01E-13,1.25560306,LOC441081
8122222,6.08E-10,1.28E-13,-0.96701669,PDE7B
7973110,9.31E-10,2.24E-13,1.65977672,RNASE2
7914950,1.39E-09,3.75E-13,0.93266516,CSF3R
8105989,2.25E-09,6.75E-13,1.58673929,LOC441081
8105935,3.96E-09,1.37E-12,1.56188728,LOC441081
8062041,3.96E-09,1.43E-12,0.66965551,ACSS2
8112476,4.16E-09,1.63E-12,1.38331815,LOC441081
7954293,5.54E-09,2.33E-12,-1.10078761,PDE3A
8047487,7.73E-09,3.48E-12,-0.71484118,FZD7
7937465,1.06E-08,5.08E-12,0.57112927,TALDO1
7946033,1.22E-08,6.24E-12,-2.30132301,HBB
8180303,1.79E-08,1.00E-11,2.27829517,SAA2
7909371,1.79E-08,1.02E-11,1.22162884,CR1
7926786,1.82E-08,1.09E-11,0.67444327,APBB1IP
8075637,2.95E-08,1.86E-11,-0.424366,LARGE1
8054479,5.26E-08,3.47E-11,-0.80286614,MALL
7943827,5.32E-08,3.67E-11,0.37003083,DLAT
7893104,5.62E-08,4.05E-11,-0.56595968,
7905571,5.77E-08,4.33E-11,1.65756052,S100A9
8099834,7.48E-08,5.84E-11,0.76879087,TLR1
8100798,7.58E-08,6.24E-11,1.0956112,SULT1B1
7959834,7.58E-08,6.38E-11,0.83602937,GLT1D1
8051396,7.70E-08,6.71E-11,0.78807169,NLRC4
8064451,8.71E-08,7.85E-11,0.52760366,SIRPB2
8108912,1.02E-07,9.46E-11,0.37573604,SH3RF2
8062108,1.69E-07,1.62E-10,-0.3491407,PROCR
7958174,1.71E-07,1.79E-10,0.69052743,TXNRD1
7991762,1.71E-07,1.80E-10,-1.93284867,HBA2///HBA1
7991766,1.71E-07,1.80E-10,-1.93284867,HBA2///HBA1
7978272,1.71E-07,1.87E-10,0.30019422,CIDEB
8163908,1.71E-07,1.90E-10,-0.73883142,GGTA1P
8042439,1.73E-07,1.98E-10,-0.63605011,ANTXR1
8159521,1.73E-07,2.06E-10,-0.52693134,PTGDS
8010967,1.73E-07,2.08E-10,-0.44586567,NXN
8136662,2.16E-07,2.66E-10,1.51572346,MGAM
7995096,2.16E-07,2.72E-10,0.85621016,ITGAM
8039096,2.44E-07,3.23E-10,0.41034917,NLRP12
8099841,2.44E-07,3.23E-10,0.6621358,TLR6
8006239,2.52E-07,3.41E-10,-0.22380442,NF1
8006415,2.55E-07,3.52E-10,-0.46842305,TMEM98
7979085,2.70E-07,3.81E-10,0.59467935,PYGL
8162404,2.97E-07,4.28E-10,-0.82489871,ECM2
8070632,3.95E-07,5.85E-10,0.72951173,CBSL///CBS
8023377,3.95E-07,5.94E-10,-0.31572706,MEX3C
8038824,4.04E-07,6.18E-10,1.06409581,SIGLEC10
8014063,4.11E-07,6.42E-10,0.53674344,EVI2B
8109350,4.44E-07,7.06E-10,0.81065044,SLC36A1
7965941,4.63E-07,7.51E-10,-0.81300347,GLT8D2
8124280,4.76E-07,7.96E-10,0.94545089,FAM65B
7914112,4.76E-07,8.01E-10,0.79442771,FGR
8013341,6.06E-07,1.04E-09,-1.01866603,MFAP4
7915846,6.08E-07,1.06E-09,0.35900937,MKNK1
8157193,6.35E-07,1.12E-09,-0.49582893,ZNF483
7930882,7.05E-07,1.27E-09,0.31239067,FAM45A///FAM45BP
8143772,7.67E-07,1.41E-09,-0.64010017,RARRES2
8137558,8.37E-07,1.56E-09,-0.31585698,RBM33
8009353,8.73E-07,1.65E-09,-0.70027194,PITPNC1
7893343,1.09E-06,2.12E-09,-0.59295011,
7896706,1.09E-06,2.13E-09,0.7216136,
8114225,1.15E-06,2.29E-09,0.39169479,H2AFY
8067233,1.28E-06,2.61E-09,-0.56205097,PMEPA1
7936494,1.28E-06,2.61E-09,-0.66431271,GFRA1
8149551,1.28E-06,2.66E-09,-0.74101996,PSD3
7932326,1.29E-06,2.71E-09,-0.37232832,CUBN
8071069,1.40E-06,3.01E-09,0.49315612,IL17RA
8172204,1.40E-06,3.02E-09,-0.58144304,MAOB
7906377,1.48E-06,3.27E-09,0.72863633,MNDA
8112220,1.48E-06,3.28E-09,-0.62696356,PDE4D
8058552,1.59E-06,3.57E-09,0.69730041,IDH1
7996546,1.60E-06,3.67E-09,-0.79961421,LRRC36
8165334,1.60E-06,3.69E-09,-0.65166977,CLIC3
7897620,1.61E-06,3.77E-09,0.68706403,PGD
8039730,1.79E-06,4.25E-09,-0.35079727,ZSCAN18
8116818,1.88E-06,4.52E-09,-1.04578171,BMP6///BMP6
8121685,1.99E-06,4.89E-09,-0.49093335,DCBLD1
8063755,1.99E-06,4.91E-09,0.35098345,FAM217B
8123137,2.27E-06,5.66E-09,0.73267691,ACAT2
8082673,2.52E-06,6.40E-09,0.55537239,ACPP
8163775,2.52E-06,6.44E-09,0.49602799,MEGF9
8002303,2.52E-06,6.51E-09,1.0034619,NQO1
7894026,2.52E-06,6.66E-09,-0.57161628,
8148070,2.52E-06,6.67E-09,-1.1839519,COL14A1
7983910,2.55E-06,6.81E-09,1.46866615,AQP9
7920244,2.56E-06,6.98E-09,1.45083337,S100A8
7923501,2.56E-06,7.05E-09,0.51538535,
7963534,2.56E-06,7.07E-09,0.57369183,KRT4
8168875,2.57E-06,7.16E-09,-0.29962345,ARMCX3
7964722,2.70E-06,7.63E-09,-1.59239902,WIF1
8060940,2.84E-06,8.18E-09,-0.53478903,LAMP5
8020086,2.84E-06,8.20E-09,-0.40861595,
7918533,3.19E-06,9.29E-09,0.94513658,TMIGD3///ADORA3///TMIGD3///ADORA3
7938758,3.24E-06,9.54E-09,1.4906812,SAA1
8046003,3.41E-06,1.01E-08,0.61217741,GCA
8031207,3.59E-06,1.08E-08,0.43715089,LILRA2
7909841,3.67E-06,1.11E-08,-0.51899636,MARK1
8129953,3.86E-06,1.18E-08,-0.80283813,HIVEP2
7915408,4.09E-06,1.26E-08,-0.18679423,FOXJ3
8043981,4.09E-06,1.28E-08,2.03289768,IL1R2
7915733,4.35E-06,1.38E-08,0.23372064,PRDX1
8142795,4.35E-06,1.39E-08,0.21967224,IMPDH1
7952986,4.50E-06,1.47E-08,-0.47299489,WNK1
7930106,4.50E-06,1.47E-08,0.33117716,MFSD13A
8059111,4.50E-06,1.47E-08,0.39444307,ABCB6
7998174,4.67E-06,1.55E-08,-0.31007372,LUC7L
8162394,4.67E-06,1.57E-08,-1.67752671,ASPN
7930837,4.67E-06,1.57E-08,-1.00825642,SLC18A2
8041508,4.86E-06,1.65E-08,0.53680772,QPCT
8039196,4.88E-06,1.67E-08,0.84904787,LILRB3
8117219,4.95E-06,1.71E-08,0.38994437,ACOT13
8031714,4.97E-06,1.73E-08,-0.28429044,ZNF460
7902808,5.41E-06,1.90E-08,-0.84525176,LINC01140
8072926,5.74E-06,2.04E-08,0.52682405,H1F0
7962842,5.74E-06,2.05E-08,-0.28984475,ADCY6
7905147,5.94E-06,2.14E-08,-0.5657834,C1orf54
7915543,6.12E-06,2.24E-08,0.43808044,SLC6A9
8019778,6.12E-06,2.25E-08,0.4624185,PCYT2
8140420,6.12E-06,2.26E-08,0.20490868,FDPSP2///FDPS
7961120,6.21E-06,2.31E-08,0.53722583,CLEC7A
8157524,6.23E-06,2.35E-08,0.55074389,TLR4
7911600,6.23E-06,2.36E-08,0.30566352,NADK
7920552,6.41E-06,2.45E-08,-0.31579142,KCNN3
8023727,6.41E-06,2.46E-08,0.62585634,DSEL
8149885,6.84E-06,2.69E-08,0.65757101,ADRA1A
8140443,6.84E-06,2.70E-08,0.22945625,FDPSP2///FDPS
7943160,6.84E-06,2.70E-08,-0.57589759,SCARNA9
8136709,6.84E-06,2.71E-08,0.2239352,MGAM2
7970111,6.98E-06,2.79E-08,-0.31188032,ARHGEF7
8156060,7.22E-06,2.91E-08,0.3781486,TLE4
7926334,7.40E-06,3.00E-08,0.33606519,OLAH
7942135,7.40E-06,3.02E-08,-0.60297561,ANO1
7949916,7.50E-06,3.10E-08,-0.39579442,CHKA
7989365,7.50E-06,3.11E-08,-0.55847937,RORA
7932584,7.54E-06,3.15E-08,-0.29443733,PRTFDC1
8002802,7.54E-06,3.17E-08,-0.27262249,WDR59
8104490,7.82E-06,3.31E-08,-0.36278737,
7904433,7.87E-06,3.36E-08,0.85168712,PHGDH
8123658,8.75E-06,3.76E-08,-0.43532731,SLC22A23
7943075,8.93E-06,3.86E-08,-0.90528254,FAT3
7945169,8.96E-06,3.91E-08,0.78531167,TMEM45B
7972828,8.96E-06,3.93E-08,-0.32683319,ANKRD10
8146285,9.46E-06,4.23E-08,-0.27927904,HGSNAT
8136557,9.46E-06,4.23E-08,0.53489592,TBXAS1
7927389,9.46E-06,4.24E-08,-0.28525864,MAPK8
8178220,9.46E-06,4.26E-08,-0.55994674,HLA-DPB1
7992811,9.96E-06,4.52E-08,0.36947069,MMP25
8137670,1.06E-05,4.84E-08,-0.52795261,PDGFA
8016745,1.06E-05,4.85E-08,-0.27521753,SPAG9
8110106,1.06E-05,4.90E-08,0.40177665,HRH2
8115957,1.06E-05,4.95E-08,0.61239558,HK3
8120967,1.10E-05,5.17E-08,-0.65127887,NT5E
7900382,1.20E-05,5.67E-08,0.25210165,CAP1
7997139,1.22E-05,5.80E-08,-0.18905123,CALB2
8093086,1.22E-05,5.81E-08,0.24885896,PCYT1A
7893453,1.23E-05,5.92E-08,-0.763107,
7920238,1.25E-05,6.03E-08,1.70345233,S100A12
8030782,1.27E-05,6.21E-08,0.66563107,SIGLEC9
8021181,1.27E-05,6.23E-08,-0.42530979,SCARNA17
7948612,1.32E-05,6.49E-08,0.63873985,FADS1
8022424,1.33E-05,6.68E-08,-0.19252752,NF1
8067862,1.33E-05,6.68E-08,-0.19252752,NF1
7986049,1.33E-05,6.74E-08,-0.3518842,CRTC3
8032410,1.33E-05,6.75E-08,0.37015899,MOB3A
7955019,1.33E-05,6.79E-08,-0.24404917,ARID2
7973108,1.33E-05,6.81E-08,0.49982651,ECRP///ECRP
7995525,1.34E-05,6.94E-08,0.77244132,NKD1
8115865,1.34E-05,6.94E-08,-0.24295481,BOD1
7931405,1.34E-05,6.98E-08,-0.26712571,PPP2R2D
7900336,1.36E-05,7.12E-08,-0.6162616,
8180259,1.36E-05,7.17E-08,-0.48485522,
8081081,1.44E-05,7.67E-08,-0.7421606,EPHA3
8070961,1.44E-05,7.68E-08,0.49088487,LSS
7960794,1.44E-05,7.70E-08,1.30049231,CD163
7934101,1.44E-05,7.73E-08,0.26766278,AIFM2
7957570,1.46E-05,7.90E-08,0.70773689,PLXNC1
8087935,1.46E-05,7.93E-08,0.39596409,NT5DC2
7911343,1.46E-05,8.08E-08,0.56282433,
8165703,1.46E-05,8.08E-08,0.56282433,
8148149,1.46E-05,8.08E-08,-0.42442587,ZHX2
7943760,1.46E-05,8.14E-08,-0.49874202,SIK2
8117120,1.46E-05,8.17E-08,-0.48824291,ID4
7892920,1.54E-05,8.67E-08,-0.40633528,
7988859,1.55E-05,8.74E-08,-0.17102217,GNB5
7921916,1.57E-05,8.89E-08,-0.9438223,RGS5
8176133,1.61E-05,9.18E-08,0.45304393,G6PD
7923453,1.64E-05,9.41E-08,-0.29878718,KDM5B
8029969,1.65E-05,9.53E-08,-0.39767516,SEPW1
8115765,1.67E-05,9.68E-08,-0.20682854,FBXW11
8024637,1.69E-05,9.83E-08,-0.26538509,FZR1
8160168,1.69E-05,9.87E-08,-0.65863658,FREM1
8069208,1.73E-05,1.02E-07,-0.29506816,COL18A1
8127346,1.81E-05,1.07E-07,-0.43551565,RAB23
8158167,1.81E-05,1.07E-07,1.35874556,LCN2
8168081,1.98E-05,1.18E-07,0.26722196,
7900395,2.02E-05,1.21E-07,-0.28432002,RLF
7940226,2.06E-05,1.24E-07,-1.00154672,MS4A2
7908388,2.07E-05,1.26E-07,-1.32899384,RGS1
7908003,2.08E-05,1.27E-07,0.85746218,NPL
8003903,2.08E-05,1.28E-07,0.47453863,ARRB2
7954481,2.08E-05,1.28E-07,-0.47128666,SSPN
8168589,2.14E-05,1.33E-07,-0.46877397,ZNF711
8089701,2.14E-05,1.33E-07,-0.50338673,ZBTB20
7949412,2.15E-05,1.34E-07,-0.47174848,LTBP3
8151816,2.16E-05,1.36E-07,-1.08154866,GEM
8028851,2.26E-05,1.43E-07,0.36317364,SHKBP1
8144528,2.29E-05,1.45E-07,-0.2272679,TNKS
8154316,2.31E-05,1.47E-07,-0.24531544,UHRF2
7928318,2.34E-05,1.50E-07,-0.4409312,MCU
7949650,2.34E-05,1.50E-07,-0.53618599,CTSF
7933194,2.37E-05,1.53E-07,-0.98966915,CXCL12
7909306,2.39E-05,1.55E-07,0.2127749,C4BPB
7977786,2.40E-05,1.56E-07,0.53397542,SLC7A7
7903358,2.42E-05,1.58E-07,-1.5100268,VCAM1
8080964,2.47E-05,1.63E-07,-0.76737391,GXYLT2
8173287,2.47E-05,1.63E-07,0.92518063,VSIG4
8038877,2.59E-05,1.72E-07,0.36347716,SIGLEC5
7934434,2.61E-05,1.74E-07,-0.34792187,MYOZ1
8180376,2.61E-05,1.75E-07,0.6985258,AKR1C1
8085665,2.76E-05,1.86E-07,-0.44796192,RFTN1
8092578,2.76E-05,1.87E-07,-0.82403827,ETV5
7971077,2.78E-05,1.89E-07,-1.43820831,POSTN
8147516,2.78E-05,1.90E-07,-0.51721603,MATN2
7974425,2.79E-05,1.91E-07,-0.6341405,SAMD4A
8019280,2.86E-05,1.97E-07,0.4178321,PCYT2
8116910,2.89E-05,1.99E-07,-0.50839815,HIVEP1
8033605,2.90E-05,2.01E-07,0.65150216,MYO1F
8083455,2.91E-05,2.03E-07,0.29681515,
7976795,2.91E-05,2.04E-07,-0.53848808,MEG3
8023646,2.94E-05,2.07E-07,-0.29091141,BCL2
7910752,3.04E-05,2.14E-07,-0.20199667,MTR
7899499,3.08E-05,2.19E-07,0.14966048,RAB42
8058666,3.08E-05,2.19E-07,0.32295367,
7933204,3.09E-05,2.21E-07,-1.26414263,C10orf10
8053834,3.14E-05,2.25E-07,-0.46868755,ANKRD36///ANKRD36B
8086961,3.35E-05,2.41E-07,0.23118144,PFKFB4
7905986,3.37E-05,2.44E-07,0.37354478,FDPS
7922130,3.38E-05,2.45E-07,-0.96793822,DPT
8105077,3.42E-05,2.49E-07,0.29215421,CARD6
8160521,3.43E-05,2.52E-07,-0.33074747,MOB3B
7918188,3.47E-05,2.56E-07,0.25718056,SLC25A24
8065517,3.49E-05,2.58E-07,-0.25086985,ZNF337
8125959,3.53E-05,2.62E-07,0.14518836,SLC26A8
7893415,3.87E-05,2.88E-07,0.44700601,
8160260,3.93E-05,2.94E-07,-0.44260722,BNC2
7950794,3.93E-05,2.95E-07,-0.32308251,
8068305,3.93E-05,2.96E-07,-0.20311985,ITSN1
8072744,3.98E-05,3.01E-07,0.54320899,NCF4
7903893,4.06E-05,3.08E-07,0.46213527,CD53
8101675,4.12E-05,3.15E-07,-0.89930464,ABCG2
8020090,4.33E-05,3.31E-07,-0.29692644,TWSG1
7912887,4.50E-05,3.46E-07,-0.58566049,MFAP2
7988672,4.74E-05,3.66E-07,-0.86008162,HDC
8050474,4.81E-05,3.72E-07,-0.25786231,NT5C1B-RDH14///RDH14
8132062,4.93E-05,3.83E-07,-0.22687271,ZNRF2
8061227,5.03E-05,3.93E-07,-0.39094529,SLC24A3
8030563,5.13E-05,4.02E-07,0.25501991,SIGLEC16
7899173,5.17E-05,4.07E-07,0.33206476,DHDDS
8097704,5.17E-05,4.11E-07,0.24249549,TMEM184C
8168968,5.17E-05,4.12E-07,-0.34006778,GPRASP1
8095545,5.17E-05,4.12E-07,-0.41970993,RUFY3
8124742,5.26E-05,4.20E-07,-0.27812129,GNL1
7927681,5.46E-05,4.40E-07,-0.63506091,BICC1
8095907,5.46E-05,4.41E-07,-0.93402272,FRAS1
8131205,5.46E-05,4.41E-07,0.31813216,SDK1
7965410,5.46E-05,4.44E-07,-0.31977798,DCN
8063437,5.46E-05,4.45E-07,-0.70896293,TSHZ2
7915091,5.46E-05,4.47E-07,0.38344427,MTF1
7957861,5.46E-05,4.49E-07,-0.36036061,ANO4
8078619,5.46E-05,4.49E-07,-0.55161162,ITGA9
7992463,5.62E-05,4.64E-07,0.60170372,SLC9A3R2
8042283,5.84E-05,4.84E-07,-0.68863471,LGALSL///LGALSL
8024062,5.87E-05,4.88E-07,-0.65494884,CFD
8171579,5.92E-05,4.94E-07,0.13317979,RS1
7965403,6.02E-05,5.05E-07,-0.62694878,LUM
7951178,6.03E-05,5.07E-07,-0.7726155,TRPC6
8123678,6.04E-05,5.12E-07,-0.41166982,PXDC1
7901135,6.04E-05,5.14E-07,0.24638734,TMEM69
7951873,6.04E-05,5.14E-07,-0.32543577,SIK3
7912937,6.04E-05,5.15E-07,0.28958659,PADI2
7980744,6.05E-05,5.18E-07,-0.39521909,RPS6KA5
8145244,6.05E-05,5.20E-07,0.33334683,LOC254896///TNFRSF10C
8175234,6.28E-05,5.42E-07,-0.64790214,GPC3
7961710,6.36E-05,5.50E-07,-0.61307134,ABCC9
8100541,6.38E-05,5.54E-07,-0.49314958,IGFBP7
8059071,6.65E-05,5.79E-07,0.30203062,NHEJ1
8001750,6.84E-05,5.99E-07,0.26358281,SLC38A7
7991335,6.84E-05,6.00E-07,1.01728921,ANPEP
8123104,6.96E-05,6.13E-07,-0.28530906,FNDC1
7932867,7.22E-05,6.39E-07,0.28581341,ZNF438///ZNF438
8138842,7.22E-05,6.40E-07,-0.34915993,NOD1
8126820,7.22E-05,6.43E-07,0.88634084,ADGRF1
8057771,7.22E-05,6.44E-07,-0.57418077,STAT4
8088813,7.34E-05,6.57E-07,0.87429227,PROK2
7955217,7.36E-05,6.62E-07,-0.35707514,SPATS2
7960874,7.36E-05,6.63E-07,0.7483507,C3AR1
8180196,7.38E-05,6.67E-07,0.51871864,LILRA6
8140579,7.43E-05,6.74E-07,-0.33328263,CACNA2D1
8038885,7.75E-05,7.05E-07,0.46015291,SIGLEC14
8103508,7.82E-05,7.14E-07,0.39559133,1-Mar
8039674,7.92E-05,7.25E-07,-0.45034579,ZNF154
8129728,7.98E-05,7.33E-07,-0.33489406,AHI1
7980381,8.00E-05,7.37E-07,0.24151824,TMED8
8025255,8.06E-05,7.47E-07,0.40072319,STXBP2
8076241,8.06E-05,7.48E-07,-0.23440101,MKL1///RBM15///MKL1
7954899,8.09E-05,7.53E-07,-0.59249243,CNTN1
8083166,8.36E-05,7.81E-07,-0.39820428,TRPC1
8093294,8.40E-05,7.89E-07,0.61352357,CCR2
7922174,8.40E-05,7.90E-07,0.38610073,F5
8000890,8.44E-05,7.96E-07,0.23481109,SEPHS2
7995242,8.50E-05,8.04E-07,-0.36108137,CLUHP3
7980152,8.50E-05,8.07E-07,-0.85544832,LTBP2
8180364,8.60E-05,8.21E-07,-0.21432033,RALGAPA1
8180365,8.60E-05,8.21E-07,-0.21432033,RALGAPA1
8170364,8.67E-05,8.30E-07,0.65852253,AFF2
8122396,8.99E-05,8.64E-07,-0.23943048,AIG1
8034227,8.99E-05,8.67E-07,-0.35358171,RGL3
8078252,9.00E-05,8.70E-07,-0.28613977,UBE2E2
8106393,9.05E-05,8.79E-07,-0.75985498,F2R
7987405,9.05E-05,8.80E-07,-0.79866181,RASGRP1
7910014,9.14E-05,8.93E-07,0.33076552,CNIH4
8180197,9.14E-05,8.95E-07,0.30503095,ALPP
8061668,9.16E-05,8.99E-07,0.8248783,HCK
7998940,9.18E-05,9.04E-07,0.33809555,MEFV
7949503,9.37E-05,9.26E-07,-0.42083447,EFEMP2
8047659,9.54E-05,9.45E-07,-0.28426008,ABI2
7903619,9.76E-05,9.70E-07,0.32717269,SARS
8054308,9.86E-05,9.83E-07,0.46121567,TBC1D8
7893336,9.93E-05,9.93E-07,-0.20709271,
8014316,9.94E-05,9.97E-07,-0.90509746,CCL5
8054064,9.95E-05,1.00E-06,-0.55699009,ANKRD36B
7989968,1.01E-04,1.01E-06,0.28709481,CALML4
8035456,1.02E-04,1.03E-06,0.49654027,LRRC25
8103254,1.02E-04,1.03E-06,-1.35736401,SFRP2
8168316,1.03E-04,1.04E-06,-0.2559714,OGT
8118548,1.04E-04,1.06E-06,-0.34218194,HLA-DRA///HLA-DQA1
8112521,1.06E-04,1.09E-06,0.50383948,NAIP
8177527,1.06E-04,1.09E-06,0.50383948,NAIP
8143417,1.09E-04,1.12E-06,-0.23705581,KIAA1549///BRAF///BRAF
8126102,1.12E-04,1.16E-06,-0.2247572,MDGA1
8087433,1.12E-04,1.16E-06,-0.27537253,NICN1
8104022,1.13E-04,1.17E-06,-0.8822872,PDLIM3
7972003,1.13E-04,1.17E-06,-0.4161199,KLF12
8079334,1.13E-04,1.18E-06,-0.45625128,LIMD1
8160274,1.13E-04,1.19E-06,-0.42572872,MGC24103
7940781,1.20E-04,1.26E-06,0.25220767,RTN3
7992147,1.20E-04,1.26E-06,0.19326706,CACNA1H
8104607,1.20E-04,1.27E-06,0.33638696,
8006214,1.21E-04,1.28E-06,0.6256297,ADAP2
8097753,1.21E-04,1.29E-06,-0.32897903,DCLK2
8047596,1.22E-04,1.30E-06,-0.36011093,NBEAL1
8119132,1.24E-04,1.32E-06,0.45528789,FGD2
8045857,1.24E-04,1.33E-06,0.38469261,CCDC148-AS1
7930148,1.28E-04,1.38E-06,0.35062729,SFXN2
7993973,1.33E-04,1.44E-06,-0.29055677,POLR3E
8178346,1.34E-04,1.45E-06,-0.26462778,GNL1
7894819,1.34E-04,1.46E-06,-0.59452069,
7944931,1.35E-04,1.47E-06,0.40144982,SLC37A2
8070173,1.35E-04,1.48E-06,0.51259253,KCNE1
8002301,1.37E-04,1.50E-06,0.15584243,
8021695,1.37E-04,1.50E-06,-0.36365172,DOK6
8114920,1.37E-04,1.51E-06,-0.55746584,DPYSL3
8071426,1.39E-04,1.53E-06,0.29069097,SNAP29
8121588,1.39E-04,1.53E-06,0.40253571,DSE
8018754,1.40E-04,1.55E-06,-0.35248591,CYGB
8137863,1.40E-04,1.55E-06,0.14951718,
8171172,1.40E-04,1.56E-06,-0.94083232,MXRA5
7998637,1.42E-04,1.58E-06,0.44264999,MSRB1
8031213,1.43E-04,1.61E-06,0.71936932,LILRA1
8083260,1.44E-04,1.62E-06,-1.09586726,CPA3
7989069,1.44E-04,1.62E-06,-0.293253,PYGO1
8122150,1.45E-04,1.64E-06,-0.69375289,EYA4
7903214,1.45E-04,1.64E-06,-0.67883729,PLPPR4
8123274,1.46E-04,1.66E-06,-0.25409092,MAP3K4
7922029,1.47E-04,1.68E-06,-0.32841801,GPA33
8084963,1.47E-04,1.68E-06,0.2337112,PAK2
8163452,1.49E-04,1.71E-06,0.35660214,FKBP15
8121076,1.50E-04,1.72E-06,-0.37224699,PNRC1
8180312,1.51E-04,1.74E-06,-0.20884995,SKP1
7963935,1.55E-04,1.79E-06,0.21644525,DNAJC14
8103483,1.56E-04,1.81E-06,0.3155199,
8113344,1.56E-04,1.81E-06,0.3155199,
8114207,1.56E-04,1.81E-06,0.3155199,
8112045,1.57E-04,1.83E-06,-1.18222937,ESM1
8045531,1.57E-04,1.84E-06,0.26404247,
7913385,1.62E-04,1.90E-06,-0.35185866,RAP1GAP
8070538,1.62E-04,1.90E-06,-0.28640296,C2CD2
7948420,1.63E-04,1.92E-06,0.48811634,FABP5P3///FABP5
7908397,1.63E-04,1.93E-06,-0.64354312,RGS13
8180375,1.65E-04,1.96E-06,-0.30069559,BRWD1
8012918,1.66E-04,1.97E-06,-0.25432366,TVP23C-CDRT4///CDRT4
8147049,1.68E-04,2.00E-06,0.48107313,FABP5P3///FABP5
7985741,1.68E-04,2.01E-06,-1.05508704,AGBL1
7956401,1.68E-04,2.01E-06,0.6249277,SHMT2
8083453,1.68E-04,2.02E-06,0.281417,
7908204,1.70E-04,2.04E-06,-0.78754472,HMCN1
7970737,1.70E-04,2.05E-06,0.39121982,FLT3
7940118,1.71E-04,2.06E-06,0.15935631,ZFP91-CNTF///ZFP91///CNTF
8016847,1.77E-04,2.14E-06,0.34472011,TRIM25
8054281,1.78E-04,2.16E-06,-0.55129721,LONRF2
8136095,1.78E-04,2.16E-06,-0.49928835,AHCYL2
8091078,1.80E-04,2.20E-06,-0.51226353,RBP1
8099612,1.80E-04,2.21E-06,-0.30072915,ADGRA3
7938880,1.80E-04,2.21E-06,0.33161792,HTATIP2
7953291,1.82E-04,2.24E-06,-0.31787992,CD9
8064464,1.87E-04,2.30E-06,0.19075806,SIRPD
8179481,1.87E-04,2.31E-06,-0.32623082,HLA-DRA///HLA-DQA1
7954196,1.88E-04,2.32E-06,0.43144487,MGST1
7920057,1.88E-04,2.33E-06,0.24124567,TDRKH
8078461,1.91E-04,2.37E-06,-0.29714216,FBXL2
8161513,1.94E-04,2.42E-06,-0.59253325,PGM5P2///PGM5
7952268,1.94E-04,2.43E-06,-1.22283268,THY1
8085797,1.95E-04,2.44E-06,-0.30841269,THRB
8005839,1.99E-04,2.50E-06,0.44323255,TMEM97
8178712,2.00E-04,2.52E-06,-0.56582844,TNXB///TNXA
8179935,2.00E-04,2.52E-06,-0.56582844,TNXB///TNXA
7946983,2.00E-04,2.53E-06,0.91709644,SAA2
7975851,2.01E-04,2.54E-06,-0.21838022,IFT43
8088919,2.01E-04,2.55E-06,-0.41640369,ROBO1
7968883,2.02E-04,2.57E-06,0.38597804,LACC1
8173647,2.03E-04,2.59E-06,-0.22109726,ZDHHC15
7974902,2.03E-04,2.59E-06,-0.53630959,RHOJ
8112865,2.06E-04,2.64E-06,-0.32773972,SERINC5
7980080,2.07E-04,2.67E-06,0.20795526,ENTPD5
7962112,2.07E-04,2.67E-06,-0.24586753,CAPRIN2
8017098,2.07E-04,2.67E-06,-1.01745959,
8063444,2.07E-04,2.68E-06,-0.51260493,TSHZ2
7991516,2.07E-04,2.68E-06,-0.16988258,ADAMTS17
8004184,2.07E-04,2.70E-06,-0.65779037,XAF1
8039226,2.10E-04,2.74E-06,0.69483108,LILRA3
7893523,2.12E-04,2.78E-06,-0.45396382,
8060963,2.12E-04,2.78E-06,-0.25553983,SNAP25
7895964,2.12E-04,2.79E-06,-0.23882176,
7928870,2.12E-04,2.80E-06,-0.12765003,
7896693,2.12E-04,2.80E-06,-0.98041417,
7961075,2.12E-04,2.80E-06,-0.98041417,CD69
8096314,2.13E-04,2.82E-06,-0.32347577,PKD2
8176076,2.14E-04,2.84E-06,0.24085587,DNASE1L1
8048227,2.14E-04,2.85E-06,0.81777835,CXCR2
8036787,2.16E-04,2.87E-06,0.39728363,FCGBP
7990054,2.16E-04,2.89E-06,-0.59648796,UACA
8060675,2.16E-04,2.90E-06,0.46979644,CDC25B
8158298,2.16E-04,2.90E-06,0.27656801,GLE1
8057486,2.17E-04,2.92E-06,-0.65595999,PDE1A
8021183,2.19E-04,2.96E-06,-0.3061293,SCARNA17
7920575,2.21E-04,2.99E-06,-0.26525759,PBXIP1
7947744,2.27E-04,3.08E-06,-0.49311233,LRP4
8085360,2.30E-04,3.12E-06,0.990188,TIMP4
8086505,2.30E-04,3.14E-06,-0.49059991,ZDHHC3
8116921,2.30E-04,3.14E-06,-1.29821376,EDN1
7947861,2.33E-04,3.19E-06,0.39712514,SPI1
8073799,2.38E-04,3.25E-06,-0.14274374,ATXN10
7998434,2.41E-04,3.31E-06,-0.74559245,TPSB2///TPSD1///TPSAB1
8169949,2.45E-04,3.37E-06,0.37636245,STK26
