,baseMean,log2FoldChange,abs(log2FC),lfcSE,stat,pvalue,padj
BST2,55.33769544,1.294052908,1.294052908,0.319107184,-4.055229628,5.00851E-05,0.002775435
HBEGF,989.2900786,1.293908866,1.293908866,0.112310111,-11.52085825,1.03574E-30,5.30904E-28
MYEOV,68.78622261,1.284266609,1.284266609,0.280355485,21.03477275,4.51023E-06,0.000336272
OAS2,662.477914,1.268386002,1.268386002,0.130277967,-9.735997805,2.11729E-22,6.67871E-20
TNIP1,4660.215402,1.266138159,1.266138159,0.089216252,-14.19178825,1.02998E-45,9.74681E-43
IRF9,677.301388,1.252539773,1.252539773,0.112277766,-11.15572403,6.7144E-29,3.17694E-26
C15orf48,897.1370916,1.238035293,1.238035293,0.105938157,-11.68639633,1.49601E-31,9.20193E-29
NID1,77.58804313,-1.226832281,1.226832281,0.277866084,4.415192606,1.0092E-05,0.000674739
S100A12,53.04467463,1.225821904,1.225821904,0.325779902,14.28821772,0.000156844,0.007421113
IL32,858.4681244,1.222790552,1.222790552,0.119422173,-10.23922546,1.32291E-24,5.08577E-22
SLC6A14,1660.166997,1.220136019,1.220136019,0.108430345,-11.25271728,2.24565E-29,1.10504E-26
CYP27B1,92.57150957,1.208015269,1.208015269,0.249447505,23.44742059,1.28375E-06,0.000110438
ITGB3,91.46770194,1.199981519,1.199981519,0.244365557,-4.910600053,9.07981E-07,8.09419E-05
C6orf223,45.17090343,1.157063788,1.157063788,0.365317292,-3.167284479,0.001538697,0.045284814
ZNF488,47.34138027,-1.137925177,1.137925177,0.320479137,3.550699705,0.000384209,0.015395874
P2RY6,44.55184171,1.137387194,1.137387194,0.345084401,-3.295968143,0.000980831,0.032049376
MAFF,447.5019654,1.135253212,1.135253212,0.135506607,-8.377843998,5.3906E-17,1.38157E-14
ATG9B,66.00409897,-1.128920705,1.128920705,0.282207106,4.000326994,6.3255E-05,0.003398093
STAT5A,62.55602145,1.121962444,1.121962444,0.299530245,-3.745740086,0.000179863,0.008287159
S100A9,12315.21804,1.109535203,1.109535203,0.088396436,-12.55180918,3.8853E-36,2.65539E-33
FAM167A,47.41238927,1.09877016,1.09877016,0.327822516,11.2525613,0.000795132,0.027604078
MMP13,70.51248616,1.096667429,1.096667429,0.302792129,-3.621849201,0.000292505,0.012365608
IL1A,2100.881989,1.074037969,1.074037969,0.132980291,-8.076670328,6.65592E-16,1.57464E-13
VTCN1,182.1986737,-1.072223154,1.072223154,0.198378047,5.404948649,6.4827E-08,7.25001E-06
CYP4F3,66.76086535,-1.070881199,1.070881199,0.303811725,3.524818533,0.000423773,0.016472222
IL1B,4401.203174,1.064606147,1.064606147,0.09665884,-11.01405882,3.26936E-28,1.48962E-25
MAP3K8,70.3342951,1.063647912,1.063647912,0.263831057,16.29966736,5.40734E-05,0.002995421
EDN1,254.5271975,1.062584325,1.062584325,0.168913467,-6.290702228,3.16033E-10,5.32581E-08
MIR221,49.07253265,-1.054632528,1.054632528,0.337087404,3.128661932,0.001756042,0.049547778
TLR2,119.5987818,1.052569651,1.052569651,0.25864764,-4.069511909,4.71117E-05,0.002646432
EPSTI1,98.11285772,1.046744971,1.046744971,0.260300622,-4.021292627,5.78796E-05,0.003122962
PPARGC1A,76.41142838,-1.045077009,1.045077009,0.253472702,4.123035741,3.73912E-05,0.002169746
TYMP,374.0459343,1.042687818,1.042687818,0.190612223,-5.470204395,4.49517E-08,5.16818E-06
IVL,2145.219732,1.040214811,1.040214811,0.132774993,-7.834418117,4.71019E-15,1.05354E-12
SOCS3,189.9443035,1.039536266,1.039536266,0.185646879,-5.599535374,2.14927E-08,2.64403E-06
METTL7A,149.499051,-1.033728173,1.033728173,0.196839399,5.25163245,1.50757E-07,1.57171E-05
PSMB9,70.71593233,1.017197656,1.017197656,0.319912452,-3.179612577,0.001474721,0.043715698
ADAM8,198.2004455,1.016403529,1.016403529,0.194760038,-5.21874784,1.80137E-07,1.80166E-05
PDGFB,226.1450722,1.016390591,1.016390591,0.168581851,-6.029062936,1.64913E-09,2.41519E-07
KRT4,355.4211645,1.014906573,1.014906573,0.184715645,-5.494426701,3.91982E-08,4.54921E-06
HELZ2,195.7082155,1.012830785,1.012830785,0.238616477,-4.244597013,2.18987E-05,0.001353755
